Tid	Kanal A
(ms)	(mV)

0.00000000	46.91498000
0.19999999	38.63496000
0.39999999	21.15834000
0.59999998	0.00000000
0.79999998	-21.15834000
0.99999997	-38.63496000
1.19999997	-48.75430000
1.39999996	-50.59670000
1.59999996	-40.47736000
1.79999995	-25.75664000
1.99999995	-8.27694300
2.19999994	15.63730000
2.39999994	33.11700000
2.59999993	45.99532000
2.79999993	49.67704000
2.99999992	44.15600000
3.19999992	31.27768000
3.39999991	12.87832000
3.59999991	-9.19660400
3.79999990	-29.43836000
3.99999990	-44.15600000
4.19999989	-45.07566000
4.39999989	-48.75430000
4.59999988	-35.87598000
4.79999988	-22.07800000
4.99999987	2.75898100
5.19999987	23.91732000
5.39999986	38.63496000
5.59999986	46.91498000
5.79999985	47.83464000
5.99999985	39.55770000
6.19999984	23.91732000
6.39999984	1.83932100
6.59999983	-17.47662000
6.79999983	-34.03666000
6.99999982	-47.83464000
7.19999982	-49.67704000
7.39999981	-44.15600000
7.59999981	-27.59596000
7.79999980	-8.27694300
7.99999980	11.95866000
8.19999979	32.19734000
8.39999979	44.15600000
8.59999978	50.59670000
8.79999978	44.15600000
8.99999977	33.11700000
9.19999977	15.63730000
9.39999976	-6.43762300
9.59999976	-26.67630000
9.79999975	-40.47736000
9.99999975	-51.51636000
10.19999974	-48.75430000
10.39999974	-38.63496000
10.59999973	-20.23868000
10.79999973	-1.83932100
10.99999972	21.15834000
11.19999972	36.79564000
11.39999971	38.63496000
11.59999971	49.67704000
11.79999970	41.39702000
11.99999970	26.67630000
12.19999969	6.43762300
12.39999969	-14.71764000
12.59999968	-34.03666000
12.79999968	-45.99532000
12.99999967	-49.67704000
13.19999967	-45.07566000
13.39999966	-32.19734000
13.59999966	-17.47662000
13.79999965	8.27694300
13.99999965	30.35802000
14.19999964	42.31668000
14.39999964	48.75430000
14.59999963	47.83464000
14.79999963	35.87598000
14.99999962	18.39628000
15.19999962	-2.75898100
15.39999961	-23.91732000
15.59999961	-39.55770000
15.79999960	-50.59670000
15.99999960	-49.67704000
