Tid	Kanal A
(ms)	(mV)

0.00000000	25.75664000
0.19999999	22.07800000
0.39999999	15.63730000
0.59999998	10.11934000
0.79999998	0.00000000
0.99999997	-5.51796200
1.19999997	-12.87832000
1.39999996	-24.83698000
1.59999996	-23.91732000
1.79999995	-26.67630000
1.99999995	-26.67630000
2.19999994	-23.91732000
2.39999994	-21.15834000
2.59999993	-14.71764000
2.79999993	-8.27694300
2.99999992	0.91966040
3.19999992	4.59830200
3.39999991	10.11934000
3.59999991	15.63730000
3.79999990	18.39628000
3.99999990	21.15834000
4.19999989	20.23868000
4.39999989	18.39628000
4.59999988	16.55696000
4.79999988	11.95866000
4.99999987	6.43762300
5.19999987	0.91966040
5.39999986	-2.75898100
5.59999986	-5.51796200
5.79999985	-10.11934000
5.99999985	-11.95866000
6.19999984	-13.79798000
6.39999984	-13.79798000
6.59999983	-11.95866000
6.79999983	-10.11934000
6.99999982	-6.43762300
7.19999982	-4.59830200
7.39999981	1.83932100
7.59999981	0.00000000
7.79999980	2.75898100
7.99999980	0.00000000
8.19999979	3.67864200
8.39999979	4.59830200
8.59999978	2.75898100
8.79999978	3.67864200
8.99999977	1.83932100
9.19999977	1.83932100
9.39999976	0.91966040
9.59999976	2.75898100
9.79999975	1.83932100
9.99999975	1.83932100
10.19999974	1.83932100
10.39999974	1.83932100
10.59999973	3.67864200
10.79999973	1.83932100
10.99999972	1.83932100
11.19999972	2.75898100
11.39999971	-0.91966040
11.59999971	-1.83932100
11.79999970	-0.91966040
11.99999970	-5.51796200
12.19999969	-8.27694300
12.39999969	-10.11934000
12.59999968	-11.95866000
12.79999968	-11.95866000
12.99999967	-11.95866000
13.19999967	-9.19660400
13.39999966	-6.43762300
13.59999966	-1.83932100
13.79999965	1.83932100
13.99999965	4.59830200
14.19999964	10.11934000
14.39999964	13.79798000
14.59999963	16.55696000
14.79999963	17.47662000
14.99999962	17.47662000
15.19999962	16.55696000
15.39999961	13.79798000
15.59999961	11.95866000
15.79999960	5.51796200
15.99999960	-2.75898100
