Tid	Kanal A
(ms)	(mV)

0.00000000	-6.43762300
0.19999999	6.43762300
0.39999999	14.71764000
0.59999998	17.47662000
0.79999998	19.31594000
0.99999997	10.11934000
1.19999997	7.35728300
1.39999996	6.43762300
1.59999996	5.51796200
1.79999995	3.67864200
1.99999995	-1.83932100
2.19999994	-11.95866000
2.39999994	-20.23868000
2.59999993	-27.59596000
2.79999993	-26.67630000
2.99999992	-8.27694300
3.19999992	3.67864200
3.39999991	20.23868000
3.59999991	32.19734000
3.79999990	34.03666000
3.99999990	21.15834000
4.19999989	7.35728300
4.39999989	-9.19660400
4.59999988	-18.39628000
4.79999988	-22.07800000
4.99999987	-17.47662000
5.19999987	-9.19660400
5.39999986	-1.83932100
5.59999986	-0.91966040
5.79999985	-2.75898100
5.99999985	-3.67864200
6.19999984	-0.91966040
6.39999984	3.67864200
6.59999983	11.95866000
6.79999983	20.23868000
6.99999982	22.99766000
7.19999982	17.47662000
7.39999981	0.91966040
7.59999981	-10.11934000
7.79999980	-24.83698000
7.99999980	-30.35802000
8.19999979	-24.83698000
8.39999979	-13.79798000
8.59999978	-1.83932100
8.79999978	8.27694300
8.99999977	13.79798000
9.19999977	14.71764000
9.39999976	13.79798000
9.59999976	13.79798000
9.79999975	11.95866000
9.99999975	10.11934000
10.19999974	11.03900000
10.39999974	-1.83932100
10.59999973	-11.95866000
10.79999973	-23.91732000
10.99999972	-29.43836000
11.19999972	-26.67630000
11.39999971	-14.71764000
11.59999971	0.00000000
11.79999970	14.71764000
11.99999970	26.67630000
12.19999969	24.83698000
12.39999969	13.79798000
12.59999968	5.51796200
12.79999968	-4.59830200
12.99999967	-9.19660400
13.19999967	-8.27694300
13.39999966	-4.59830200
13.59999966	-4.59830200
13.79999965	-5.51796200
13.99999965	-10.11934000
14.19999964	-17.47662000
14.39999964	-18.39628000
14.59999963	-11.95866000
14.79999963	1.83932100
14.99999962	20.23868000
15.19999962	29.43836000
15.39999961	32.19734000
15.59999961	24.83698000
15.79999960	6.43762300
15.99999960	-11.03900000
