Tid	Kanal A
(ms)	(mV)

0.00000000	19.31594000
0.19999999	6.43762300
0.39999999	-8.27694300
0.59999998	-19.31594000
0.79999998	-25.75664000
0.99999997	-25.75664000
1.19999997	-17.47662000
1.39999996	-7.35728300
1.59999996	3.67864200
1.79999995	14.71764000
1.99999995	21.15834000
2.19999994	22.07800000
2.39999994	13.79798000
2.59999993	2.75898100
2.79999993	-9.19660400
2.99999992	-21.15834000
3.19999992	-28.51562000
3.39999991	-28.51562000
3.59999991	-22.07800000
3.79999990	-10.11934000
3.99999990	2.75898100
4.19999989	18.39628000
4.39999989	26.67630000
4.59999988	31.27768000
4.79999988	28.51562000
4.99999987	15.63730000
5.19999987	7.35728300
5.39999986	-7.35728300
5.59999986	-25.75664000
5.79999985	-25.75664000
5.99999985	-24.83698000
6.19999984	-16.55696000
6.39999984	-7.35728300
6.59999983	5.51796200
6.79999983	16.55696000
6.99999982	22.07800000
7.19999982	21.15834000
7.39999981	13.79798000
7.59999981	3.67864200
7.79999980	-11.95866000
7.99999980	-20.23868000
8.19999979	-28.51562000
8.39999979	-29.43836000
8.59999978	-24.83698000
8.79999978	-11.03900000
8.99999977	4.59830200
9.19999977	18.39628000
9.39999976	27.59596000
9.59999976	31.27768000
9.79999975	28.51562000
9.99999975	20.23868000
10.19999974	7.35728300
10.39999974	-9.19660400
10.59999973	-15.63730000
10.79999973	-26.67630000
10.99999972	-25.75664000
11.19999972	-18.39628000
11.39999971	-8.27694300
11.59999971	3.67864200
11.79999970	14.71764000
11.99999970	21.15834000
12.19999969	21.15834000
12.39999969	14.71764000
12.59999968	4.59830200
12.79999968	-9.19660400
12.99999967	-22.07800000
13.19999967	-28.51562000
13.39999966	-27.59596000
13.59999966	-23.91732000
13.79999965	-11.03900000
13.99999965	5.51796200
14.19999964	17.47662000
14.39999964	27.59596000
14.59999963	31.27768000
14.79999963	28.51562000
14.99999962	20.23868000
15.19999962	6.43762300
15.39999961	-6.43762300
15.59999961	-20.23868000
15.79999960	-24.83698000
15.99999960	-23.91732000
