Tid	Kanal A
(ms)	(mV)

0.00000000	-4.59830200
0.19999999	-32.19734000
0.39999999	-15.63730000
0.59999998	12.87832000
0.79999998	54.27534000
0.99999997	37.71530000
1.19999997	17.47662000
1.39999996	0.00000000
1.59999996	-12.87832000
1.79999995	-4.59830200
1.99999995	-6.43762300
2.19999994	-16.55696000
2.39999994	-14.71764000
2.59999993	-11.95866000
2.79999993	-6.43762300
2.99999992	-2.75898100
3.19999992	0.00000000
3.39999991	-0.91966040
3.59999991	1.83932100
3.79999990	5.51796200
3.99999990	12.87832000
4.19999989	12.87832000
4.39999989	10.11934000
4.59999988	5.51796200
4.79999988	30.35802000
4.99999987	14.71764000
5.19999987	0.00000000
5.39999986	-23.91732000
5.59999986	-39.55770000
5.79999985	-25.75664000
5.99999985	-4.59830200
6.19999984	6.43762300
6.39999984	7.35728300
6.59999983	-4.59830200
6.79999983	-20.23868000
6.99999982	-7.35728300
7.19999982	7.35728300
7.39999981	21.15834000
7.59999981	37.71530000
7.79999980	13.79798000
7.99999980	5.51796200
8.19999979	-15.63730000
8.39999979	-10.11934000
8.59999978	-4.59830200
8.79999978	17.47662000
8.99999977	5.51796200
9.19999977	-6.43762300
9.39999976	-30.35802000
9.59999976	-57.03432000
9.79999975	-20.23868000
9.99999975	4.59830200
10.19999974	33.11700000
10.39999974	27.59596000
10.59999973	7.35728300
10.79999973	5.51796200
10.99999972	0.00000000
11.19999972	10.11934000
11.39999971	4.59830200
11.59999971	12.87832000
11.79999970	-4.59830200
11.99999970	-3.67864200
12.19999969	-4.59830200
12.39999969	-7.35728300
12.59999968	-12.87832000
12.79999968	-29.43836000
12.99999967	-19.31594000
13.19999967	-10.11934000
13.39999966	2.75898100
13.59999966	-3.67864200
13.79999965	4.59830200
13.99999965	11.03900000
14.19999964	39.55770000
14.39999964	26.67630000
14.59999963	9.19660400
14.79999963	-21.15834000
14.99999962	-14.71764000
15.19999962	-10.11934000
15.39999961	6.43762300
15.59999961	19.31594000
15.79999960	-0.91966040
15.99999960	-17.47662000
