Tid	Kanal A
(ms)	(mV)

0.00000000	14.71764000
0.19999999	27.59596000
0.39999999	22.99766000
0.59999998	-2.75898100
0.79999998	-19.31594000
0.99999997	-35.87598000
1.19999997	-34.03666000
1.39999996	-11.95866000
1.59999996	13.79798000
1.79999995	28.51562000
1.99999995	31.27768000
2.19999994	11.03900000
2.39999994	-12.87832000
2.59999993	-22.07800000
2.79999993	-23.91732000
2.99999992	-5.51796200
3.19999992	11.03900000
3.39999991	11.03900000
3.59999991	0.91966040
3.79999990	-13.79798000
3.99999990	-22.99766000
4.19999989	-15.63730000
4.39999989	5.51796200
4.59999988	22.99766000
4.79999988	30.35802000
4.99999987	22.99766000
5.19999987	-3.67864200
5.39999986	-27.59596000
5.59999986	-35.87598000
5.79999985	-28.51562000
5.99999985	-5.51796200
6.19999984	21.15834000
6.39999984	29.43836000
6.59999983	22.07800000
6.79999983	2.75898100
6.99999982	-11.95866000
7.19999982	-16.55696000
7.39999981	-1.83932100
7.59999981	11.03900000
7.79999980	14.71764000
7.99999980	8.27694300
8.19999979	-4.59830200
8.39999979	-28.51562000
8.59999978	-27.59596000
8.79999978	-12.87832000
8.99999977	11.95866000
9.19999977	34.03666000
9.39999976	36.79564000
9.59999976	18.39628000
9.79999975	-5.51796200
9.99999975	-28.51562000
10.19999974	-35.87598000
10.39999974	-17.47662000
10.59999973	2.75898100
10.79999973	15.63730000
10.99999972	16.55696000
11.19999972	5.51796200
11.39999971	-8.27694300
11.59999971	-12.87832000
11.79999970	-4.59830200
11.99999970	7.35728300
12.19999969	25.75664000
12.39999969	21.15834000
12.59999968	0.91966040
12.79999968	-19.31594000
12.99999967	-34.95632000
13.19999967	-29.43836000
13.39999966	-7.35728300
13.59999966	15.63730000
13.79999965	33.11700000
13.99999965	33.11700000
14.19999964	11.95866000
14.39999964	-14.71764000
14.59999963	-22.99766000
14.79999963	-19.31594000
14.99999962	-6.43762300
15.19999962	10.11934000
15.39999961	13.79798000
15.59999961	4.59830200
15.79999960	-11.03900000
15.99999960	-19.31594000
