Tid	Kanal A
(ms)	(mV)

0.00000000	14.71764000
0.19999999	6.43762300
0.39999999	-5.51796200
0.59999998	-11.03900000
0.79999998	-10.11934000
0.99999997	-3.67864200
1.19999997	-6.43762300
1.39999996	-7.35728300
1.59999996	-2.75898100
1.79999995	-0.91966040
1.99999995	7.35728300
2.19999994	5.51796200
2.39999994	0.00000000
2.59999993	8.27694300
2.79999993	6.43762300
2.99999992	9.19660400
3.19999992	-4.59830200
3.39999991	-8.27694300
3.59999991	-5.51796200
3.79999990	-1.83932100
3.99999990	-7.35728300
4.19999989	-2.75898100
4.39999989	-10.11934000
4.59999988	3.67864200
4.79999988	6.43762300
4.99999987	8.27694300
5.19999987	10.11934000
5.39999986	11.95866000
5.59999986	6.43762300
5.79999985	3.67864200
5.99999985	-2.75898100
6.19999984	-5.51796200
6.39999984	-5.51796200
6.59999983	-22.07800000
6.79999983	-17.47662000
6.99999982	-8.27694300
7.19999982	15.63730000
7.39999981	24.83698000
7.59999981	13.79798000
7.79999980	6.43762300
7.99999980	9.19660400
8.19999979	1.83932100
8.39999979	-0.91966040
8.59999978	-30.35802000
8.79999978	-22.07800000
8.99999977	-14.71764000
9.19999977	11.03900000
9.39999976	14.71764000
9.59999976	9.19660400
9.79999975	-3.67864200
9.99999975	1.83932100
10.19999974	1.83932100
10.39999974	6.43762300
10.59999973	-11.95866000
10.79999973	-4.59830200
10.99999972	-3.67864200
11.19999972	9.19660400
11.39999971	6.43762300
11.59999971	5.51796200
11.79999970	-6.43762300
11.99999970	-8.27694300
12.19999969	-9.19660400
12.39999969	3.67864200
12.59999968	-4.59830200
12.79999968	1.83932100
12.99999967	2.75898100
13.19999967	14.71764000
13.39999966	9.19660400
13.59999966	7.35728300
13.79999965	-5.51796200
13.99999965	-5.51796200
14.19999964	-10.11934000
14.39999964	-1.83932100
14.59999963	-11.95866000
14.79999963	-8.27694300
14.99999962	-3.67864200
15.19999962	15.63730000
15.39999961	15.63730000
15.59999961	7.35728300
15.79999960	-1.83932100
15.99999960	14.71764000
