Tid	Kanal A
(ms)	(mV)

0.00000000	-23.91732000
0.19999999	1.83932100
0.39999999	27.59596000
0.59999998	31.27768000
0.79999998	14.71764000
0.99999997	-13.79798000
1.19999997	-30.35802000
1.39999996	-27.59596000
1.59999996	-1.83932100
1.79999995	23.91732000
1.99999995	34.95632000
2.19999994	17.47662000
2.39999994	-11.03900000
2.59999993	-30.35802000
2.79999993	-28.51562000
2.99999992	-4.59830200
3.19999992	24.83698000
3.39999991	33.11700000
3.59999991	21.15834000
3.79999990	-4.59830200
3.99999990	-29.43836000
4.19999989	-30.35802000
4.39999989	-9.19660400
4.59999988	21.15834000
4.79999988	32.19734000
4.99999987	23.91732000
5.19999987	-2.75898100
5.39999986	-26.67630000
5.59999986	-31.27768000
5.79999985	-11.95866000
5.99999985	15.63730000
6.19999984	32.19734000
6.39999984	25.75664000
6.59999983	1.83932100
6.79999983	-23.91732000
6.99999982	-32.19734000
7.19999982	-16.55696000
7.39999981	13.79798000
7.59999981	28.51562000
7.79999980	28.51562000
7.99999980	6.43762300
8.19999979	-17.47662000
8.39999979	-32.19734000
8.59999978	-22.99766000
8.79999978	2.75898100
8.99999977	26.67630000
9.19999977	30.35802000
9.39999976	13.79798000
9.59999976	-12.87832000
9.79999975	-33.11700000
9.99999975	-28.51562000
10.19999974	-2.75898100
10.39999974	23.91732000
10.59999973	32.19734000
10.79999973	17.47662000
10.99999972	-11.03900000
11.19999972	-31.27768000
11.39999971	-29.43836000
11.59999971	-6.43762300
11.79999970	20.23868000
11.99999970	33.11700000
12.19999969	20.23868000
12.39999969	-7.35728300
12.59999968	-29.43836000
12.79999968	-29.43836000
12.99999967	-9.19660400
13.19999967	18.39628000
13.39999966	32.19734000
13.59999966	22.07800000
13.79999965	-1.83932100
13.99999965	-26.67630000
14.19999964	-31.27768000
14.39999964	-12.87832000
14.59999963	13.79798000
14.79999963	31.27768000
14.99999962	24.83698000
15.19999962	0.91966040
15.39999961	-22.99766000
15.59999961	-32.19734000
15.79999960	-13.79798000
