Tid	Kanal A
(ms)	(mV)

0.00000000	-9.19660400
0.19999999	-8.27694300
0.39999999	-7.35728300
0.59999998	-6.43762300
0.79999998	-3.67864200
0.99999997	-3.67864200
1.19999997	-2.75898100
1.39999996	0.00000000
1.59999996	0.00000000
1.79999995	0.91966040
1.99999995	0.00000000
2.19999994	2.75898100
2.39999994	2.75898100
2.59999993	5.51796200
2.79999993	6.43762300
2.99999992	6.43762300
3.19999992	5.51796200
3.39999991	5.51796200
3.59999991	5.51796200
3.79999990	0.00000000
3.99999990	0.00000000
4.19999989	-2.75898100
4.39999989	-4.59830200
4.59999988	-4.59830200
4.79999988	-4.59830200
4.99999987	-4.59830200
5.19999987	-9.19660400
5.39999986	-0.91966040
5.59999986	0.91966040
5.79999985	-0.91966040
5.99999985	-0.91966040
6.19999984	0.00000000
6.39999984	-2.75898100
6.59999983	-4.59830200
6.79999983	-5.51796200
6.99999982	-1.83932100
7.19999982	0.00000000
7.39999981	4.59830200
7.59999981	9.19660400
7.79999980	14.71764000
7.99999980	19.31594000
8.19999979	19.31594000
8.39999979	19.31594000
8.59999978	18.39628000
8.79999978	12.87832000
8.99999977	6.43762300
9.19999977	-4.59830200
9.39999976	-12.87832000
9.59999976	-20.23868000
9.79999975	-26.67630000
9.99999975	-28.51562000
10.19999974	-27.59596000
10.39999974	-23.91732000
10.59999973	-21.15834000
10.79999973	-7.35728300
10.99999972	2.75898100
11.19999972	11.95866000
11.39999971	18.39628000
11.59999971	21.15834000
11.79999970	22.07800000
11.99999970	20.23868000
12.19999969	20.23868000
12.39999969	10.11934000
12.59999968	2.75898100
12.79999968	-0.91966040
12.99999967	-6.43762300
13.19999967	-8.27694300
13.39999966	-10.11934000
13.59999966	-10.11934000
13.79999965	-8.27694300
13.99999965	-6.43762300
14.19999964	-2.75898100
14.39999964	-2.75898100
14.59999963	-1.83932100
14.79999963	-0.91966040
14.99999962	0.91966040
15.19999962	0.91966040
15.39999961	2.75898100
15.59999961	1.83932100
15.79999960	2.75898100
15.99999960	6.43762300
